Id_220,Id_107,MachineId_220,CatalogItemId_220,MachineId_107,CatalogItemId_107,conflict_type
365,3605,14,918,14,918,BUSINESS_DUPLICATE_DIFFERENT_ID
1517,1919,11,758,11,758,BUSINESS_DUPLICATE_DIFFERENT_ID
1520,1955,11,770,11,770,BUSINESS_DUPLICATE_DIFFERENT_ID
1577,2030,11,802,11,802,BUSINESS_DUPLICATE_DIFFERENT_ID
1796,2255,11,1081,11,1081,BUSINESS_DUPLICATE_DIFFERENT_ID
1919,1517,11,758,11,758,BUSINESS_DUPLICATE_DIFFERENT_ID
1955,1520,11,770,11,770,BUSINESS_DUPLICATE_DIFFERENT_ID
2030,1577,11,802,11,802,BUSINESS_DUPLICATE_DIFFERENT_ID
2255,1796,11,1081,11,1081,BUSINESS_DUPLICATE_DIFFERENT_ID
3605,365,14,918,14,918,BUSINESS_DUPLICATE_DIFFERENT_ID
