Id_220,Id_107,ParameterId_220,CatalogItemId_220,ParameterId_107,CatalogItemId_107,conflict_type
2003,2565,358,1163,358,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2006,2562,358,1368,358,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2010,2579,361,1375,361,1375,BUSINESS_DUPLICATE_DIFFERENT_ID
2011,2570,361,1144,361,1144,BUSINESS_DUPLICATE_DIFFERENT_ID
2013,2578,361,1376,361,1376,BUSINESS_DUPLICATE_DIFFERENT_ID
2024,2571,361,1370,361,1370,BUSINESS_DUPLICATE_DIFFERENT_ID
2030,2602,362,1370,362,1370,BUSINESS_DUPLICATE_DIFFERENT_ID
2031,2598,362,1375,362,1375,BUSINESS_DUPLICATE_DIFFERENT_ID
2032,2592,362,1144,362,1144,BUSINESS_DUPLICATE_DIFFERENT_ID
2033,2595,362,1376,362,1376,BUSINESS_DUPLICATE_DIFFERENT_ID
2042,2608,363,1368,363,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2044,2606,363,1163,363,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2065,2623,366,1163,366,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2066,2625,367,1368,367,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2084,2650,382,1144,382,1144,BUSINESS_DUPLICATE_DIFFERENT_ID
2091,2649,382,1375,382,1375,BUSINESS_DUPLICATE_DIFFERENT_ID
2106,2676,386,1163,386,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2111,2680,386,1368,386,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2117,2686,387,1368,387,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2119,2687,387,1163,387,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2126,2694,388,1368,388,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
2128,2690,388,1163,388,1163,BUSINESS_DUPLICATE_DIFFERENT_ID
2133,2701,389,1368,389,1368,BUSINESS_DUPLICATE_DIFFERENT_ID
