Id_220,Id_107,ProcessorId_220,CatalogItemId_220,ProcessorId_107,CatalogItemId_107,conflict_type
3028,534,2,534,2,534,BUSINESS_DUPLICATE_DIFFERENT_ID
3029,533,2,533,2,533,BUSINESS_DUPLICATE_DIFFERENT_ID
3031,535,2,535,2,535,BUSINESS_DUPLICATE_DIFFERENT_ID
3032,536,2,536,2,536,BUSINESS_DUPLICATE_DIFFERENT_ID
3033,537,2,537,2,537,BUSINESS_DUPLICATE_DIFFERENT_ID
3034,538,2,538,2,538,BUSINESS_DUPLICATE_DIFFERENT_ID
3035,532,1,532,1,532,BUSINESS_DUPLICATE_DIFFERENT_ID
3036,531,1,531,1,531,BUSINESS_DUPLICATE_DIFFERENT_ID
3037,530,1,530,1,530,BUSINESS_DUPLICATE_DIFFERENT_ID
3038,1179,1,1179,1,1179,BUSINESS_DUPLICATE_DIFFERENT_ID
3039,446,11,446,11,446,BUSINESS_DUPLICATE_DIFFERENT_ID
3040,445,11,445,11,445,BUSINESS_DUPLICATE_DIFFERENT_ID
3041,1757,54,1390,54,1390,BUSINESS_DUPLICATE_DIFFERENT_ID
3042,1823,20,1391,20,1391,BUSINESS_DUPLICATE_DIFFERENT_ID
3043,470,11,470,11,470,BUSINESS_DUPLICATE_DIFFERENT_ID
3044,471,11,471,11,471,BUSINESS_DUPLICATE_DIFFERENT_ID
3081,539,2,539,2,539,BUSINESS_DUPLICATE_DIFFERENT_ID
3082,229,38,229,38,229,BUSINESS_DUPLICATE_DIFFERENT_ID
3083,181,39,181,39,181,BUSINESS_DUPLICATE_DIFFERENT_ID
3084,209,38,209,38,209,BUSINESS_DUPLICATE_DIFFERENT_ID
3085,2987,65,2441,65,2441,BUSINESS_DUPLICATE_DIFFERENT_ID
3086,202,38,202,38,202,BUSINESS_DUPLICATE_DIFFERENT_ID
3098,1142,9,1142,9,1142,BUSINESS_DUPLICATE_DIFFERENT_ID
3105,1154,9,1154,9,1154,BUSINESS_DUPLICATE_DIFFERENT_ID
3106,1160,9,1160,9,1160,BUSINESS_DUPLICATE_DIFFERENT_ID
3112,1178,9,1178,9,1178,BUSINESS_DUPLICATE_DIFFERENT_ID
3114,1673,9,1432,9,1432,BUSINESS_DUPLICATE_DIFFERENT_ID
3115,1646,9,1425,9,1425,BUSINESS_DUPLICATE_DIFFERENT_ID
3120,2255,9,1817,9,1817,BUSINESS_DUPLICATE_DIFFERENT_ID
3121,2261,9,1823,9,1823,BUSINESS_DUPLICATE_DIFFERENT_ID
3122,2258,9,1820,9,1820,BUSINESS_DUPLICATE_DIFFERENT_ID
3132,1643,9,1424,9,1424,BUSINESS_DUPLICATE_DIFFERENT_ID
3133,1460,9,1378,9,1378,BUSINESS_DUPLICATE_DIFFERENT_ID
3134,1457,9,1377,9,1377,BUSINESS_DUPLICATE_DIFFERENT_ID
3136,1424,9,1366,9,1366,BUSINESS_DUPLICATE_DIFFERENT_ID
3137,2679,9,2190,9,2190,BUSINESS_DUPLICATE_DIFFERENT_ID
3138,1164,9,1164,9,1164,BUSINESS_DUPLICATE_DIFFERENT_ID
3139,2676,9,2187,9,2187,BUSINESS_DUPLICATE_DIFFERENT_ID
3141,1685,9,1436,9,1436,BUSINESS_DUPLICATE_DIFFERENT_ID
3142,1679,9,1434,9,1434,BUSINESS_DUPLICATE_DIFFERENT_ID
3143,1670,9,1431,9,1431,BUSINESS_DUPLICATE_DIFFERENT_ID
3144,1664,9,1429,9,1429,BUSINESS_DUPLICATE_DIFFERENT_ID
3145,1649,9,1426,9,1426,BUSINESS_DUPLICATE_DIFFERENT_ID
3146,1628,9,1419,9,1419,BUSINESS_DUPLICATE_DIFFERENT_ID
3147,1661,9,1428,9,1428,BUSINESS_DUPLICATE_DIFFERENT_ID
3148,1451,9,1375,9,1375,BUSINESS_DUPLICATE_DIFFERENT_ID
3149,1676,66,1433,66,1433,BUSINESS_DUPLICATE_DIFFERENT_ID
3150,1466,48,1380,48,1380,BUSINESS_DUPLICATE_DIFFERENT_ID
3151,1769,60,1530,60,1530,BUSINESS_DUPLICATE_DIFFERENT_ID
3152,1763,48,1532,48,1532,BUSINESS_DUPLICATE_DIFFERENT_ID
3153,1760,18,1533,18,1533,BUSINESS_DUPLICATE_DIFFERENT_ID
3155,2919,26,2391,26,2391,BUSINESS_DUPLICATE_DIFFERENT_ID
3156,114,35,114,35,114,BUSINESS_DUPLICATE_DIFFERENT_ID
3157,2738,61,2231,61,2231,BUSINESS_DUPLICATE_DIFFERENT_ID
3158,96,24,96,24,96,BUSINESS_DUPLICATE_DIFFERENT_ID
3159,95,24,95,24,95,BUSINESS_DUPLICATE_DIFFERENT_ID
3160,94,18,94,18,94,BUSINESS_DUPLICATE_DIFFERENT_ID
3161,86,48,86,48,86,BUSINESS_DUPLICATE_DIFFERENT_ID
3162,82,60,82,60,82,BUSINESS_DUPLICATE_DIFFERENT_ID
3163,2922,18,2388,18,2388,BUSINESS_DUPLICATE_DIFFERENT_ID
