Id,ProcessorId,CatalogItemId
3050,79,1146
3074,74,2479
3078,74,2481
3079,74,2480
3087,68,775
3088,68,776
3089,68,777
3090,68,779
3091,68,798
3092,79,1410
3094,68,1167
3095,79,1159
3096,79,1145
3097,69,1143
3099,80,1148
3100,80,1149
3101,70,1150
3102,70,1151
3103,79,1152
3104,79,1141
3107,68,1161
3108,70,1404
3109,79,1162
3110,79,1166
3111,79,1408
3113,70,1772
3116,79,1176
3117,68,1826
3123,79,1799
3124,79,1174
3125,79,1173
3126,68,1172
3127,68,1171
3128,68,1170
3130,68,1168
3131,68,1169
3135,79,1411
3140,9,2198
3154,62,1
3170,59,33
3180,62,125
3182,24,522
3196,59,518
3216,68,799
3218,68,800
3220,68,801
3222,68,802
3225,68,828
3227,62,14
3232,68,829
3247,74,2482
3255,74,2483
3259,68,1396
3260,62,24
3262,68,1397
3353,17,2423
3388,17,2032
3392,16,1340
3412,5,2162
3439,75,1930
3440,75,1933
3441,75,1935
3442,75,1929
3443,75,1941
3444,75,1939
3445,75,1938
3446,68,663
3448,78,851
3449,78,849
3450,68,825
3451,68,1103
3452,78,1113
3453,68,551
3454,78,1084
3455,78,1088
3456,78,2270
3487,81,1676
3488,81,1673
3489,81,1670
3490,81,1667
3494,81,1664
3514,81,1643
3515,81,1646
3516,64,2020
3520,81,1661
3522,81,1914
3523,81,1911
3524,81,1908
3531,81,1649
3532,81,1652
3533,81,1655
3534,81,1658
3545,81,1242
3547,81,1247
3570,81,1241
3585,81,1180
3624,44,2085
3629,64,1996
3633,76,1972
3678,31,412
3740,39,85
3742,47,101
3751,80,722
3756,80,948
3758,41,2385
3760,80,743
3763,79,835
3773,80,917
3776,80,561
3782,80,560
3790,80,558
3792,80,920
3794,80,921
3801,80,922
3861,34,105
3862,34,104
3863,34,103
3864,34,102
3875,74,500
3984,75,2204
3985,75,516
3986,75,502
3987,71,49
3988,71,50
3989,71,51
3990,75,54
3991,75,53
3992,71,52
3993,71,44
3994,75,477
3995,75,45
3996,72,43
3997,72,42
3998,73,1085
3999,75,56
4000,75,55
4001,75,57
4002,73,941
4003,73,940
4004,73,939
4005,73,938
4007,68,627
4008,68,664
4009,68,672
4010,68,2124
4011,68,1867
4012,68,2112
4014,68,2121
4015,68,2121
4016,68,2127
4017,68,2115
4019,69,1508
4020,69,1516
4022,69,1074
4023,69,1116
4024,69,1139
4025,69,1521
4026,68,2118
4027,69,935
4028,68,742
4029,68,745
4030,69,1023
4031,68,923
4032,69,1515
4033,68,965
4034,69,925
4036,68,1067
4037,69,943
4038,68,1072
4039,68,1398
4040,69,616
4041,68,1093
4042,69,715
4044,69,661
4047,69,549
4049,69,685
4052,69,659
4054,69,961
4056,69,1070
4059,80,552
4062,79,1513
4064,79,671
4065,80,1137
4068,80,1122
4070,80,569
4072,80,570
4082,74,2484
4084,74,2485
4086,74,2486
4088,74,2487
4090,74,2488
4093,74,2489
4095,74,2490
4096,74,2491
4097,74,2492
4098,74,2493
4101,74,2494
4102,78,690
4104,74,2495
4105,78,450
4106,78,1395
4107,80,665
4108,80,666
4109,78,554
4110,80,668
4111,78,611
4112,80,674
4113,79,676
