Id,ShortName
1982,IPSS PRL2- PERI
2479,IPRPTS
2480,IPRFBC
2481,IPRMTPSPX1
2482,IPRFBCC
2483,IPRABG
2484,IPRRP
2485,IPRLFT
2486,IPRCRP
2487,IPRFSL
2488,IPRCMP
2489,IPRGLCR
2490,IPRGLCF
2491,IPRUPT
2492,IPROCC
2493,IPRURA
2494,IPRMTPSPX2
2495,IPRMTPSPX3
2496,IPRMTPGLX1
2497,IPRMTPGLX2
2498,IPRMTPGLX3
2499,IPRMTPBWX3
2500,IPRMTPBWX2
2501,IPRMTPBWX1
2502,IPRMTPTS
2503,IPRMTPBM
2504,IPRMTPBALX1
2505,IPRMTPBALX2
2506,IPRMTPBALX3
2507,IPRMTPNPA
2508,IPRMTPABS
2509,IPRMTPASP
2510,IPRMTPBX
2511,IPRMTPSBF
2512,IPRMTPBN
2513,IPRMTPCSF
2514,IPRMTPFNA
2515,IPRMTPLN
2516,IPRMTPPRC
2517,IPRMTPPRN
2518,IPRMTPPL
2519,IPRMPTPUS
2520,IPRMTPSKN
2521,IPRMTPSWB
2522,IPRMTPTAX1
2523,IPRMTBCSPX1
2524,IPRMTBCSPX2
2525,IPRMTBCGL
2526,IPRMTBCCSF
2527,IPRMTBCSBF
2528,IPRMTBCTS 
2529,IPRMTBCBN
2530,IPRMTBCPUS
2531,IPRMTBCSKN
2532,IPRMTBCSTL
2533,IPRMTBCTA
2534,IPRMTBCURN
2535,IPRMTBCBAL
2536,IPRMTBCBW
2537,IPRMTBCDR
2538,IPRMTBCFNA
2539,IPRMTBCPRC
2540,IPRMTBCPL
2541,IPRMTBCPRN
2542,IPRGXPMTBSPT
2543,IPRGXPMTBBN
2544,IPRGXPMTBGL
2545,IPRGXPMTBSBF
2546,IPRGXPMTBCSF
2547,IPRGXPMTBTS
2548,IPRGXPMTBPL
2549,IPRGXPMTBABS
2550,IPRGXPMTBBAL
2551,IPRGENEXPERTMTBBW
2552,IPRGENEXPERTMTBFBNA
2553,IPRGENEXPERTMTBLN
2554,IPRGENEXPERTMTBPRC
2555,IPRGENEXPERTMTBPRN
2556,IPRGENEXPERTMTBPUS
2557,IPRGENEXPERTMTSKN
2558,IPRGENEXPERTMTBSWB
2559,IPRGENEXPERTMTBTA
2560,IPRGENEXPERTMTBURN
2561,IPRGXPXDRSPT
2562,IPRCOV
2563,IPRFLU
